GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
1400000US13047030600,13047030600,"Census Tract 306, Catoosa County, Georgia",5391,442,5164,449,227,166
1400000US13047030700,13047030700,"Census Tract 307, Catoosa County, Georgia",8334,565,8245,554,89,122
1400000US13049010100,13049010100,"Census Tract 101, Charlton County, Georgia",10078,400,8749,513,1329,456
1400000US13049010200,13049010200,"Census Tract 102, Charlton County, Georgia",3002,400,2953,391,49,73
1400000US13051000100,13051000100,"Census Tract 1, Chatham County, Georgia",1856,264,1710,256,146,94
1400000US13051000300,13051000300,"Census Tract 3, Chatham County, Georgia",1805,250,1605,214,200,108
1400000US13051000601,13051000601,"Census Tract 6.01, Chatham County, Georgia",3800,683,3616,650,184,262
1400000US13051000900,13051000900,"Census Tract 9, Chatham County, Georgia",1153,167,1051,148,102,73
1400000US13051001100,13051001100,"Census Tract 11, Chatham County, Georgia",2101,237,2092,238,9,16
1400000US13051001200,13051001200,"Census Tract 12, Chatham County, Georgia",1811,312,1762,337,49,75
1400000US13051001500,13051001500,"Census Tract 15, Chatham County, Georgia",1167,290,944,150,223,235
1400000US13051002000,13051002000,"Census Tract 20, Chatham County, Georgia",1622,302,1487,294,135,110
1400000US13051002100,13051002100,"Census Tract 21, Chatham County, Georgia",2454,370,2454,370,0,13
1400000US13051002200,13051002200,"Census Tract 22, Chatham County, Georgia",4381,471,4327,478,54,77
1400000US13051002300,13051002300,"Census Tract 23, Chatham County, Georgia",2222,380,2222,380,0,13
1400000US13051002600,13051002600,"Census Tract 26, Chatham County, Georgia",1306,244,1261,239,45,45
1400000US13051002700,13051002700,"Census Tract 27, Chatham County, Georgia",3129,513,3087,510,42,46
1400000US13051002800,13051002800,"Census Tract 28, Chatham County, Georgia",2856,328,2822,316,34,33
1400000US13051002900,13051002900,"Census Tract 29, Chatham County, Georgia",3026,352,2937,334,89,98
1400000US13051003000,13051003000,"Census Tract 30, Chatham County, Georgia",2068,204,1993,211,75,74
1400000US13051003301,13051003301,"Census Tract 33.01, Chatham County, Georgia",2091,309,2086,309,5,8
1400000US13051003302,13051003302,"Census Tract 33.02, Chatham County, Georgia",1854,200,1854,200,0,13
1400000US13051003400,13051003400,"Census Tract 34, Chatham County, Georgia",4531,394,4310,401,221,169
1400000US13051003501,13051003501,"Census Tract 35.01, Chatham County, Georgia",2700,407,2679,405,21,29
1400000US13051003502,13051003502,"Census Tract 35.02, Chatham County, Georgia",3851,423,3814,428,37,45
1400000US13051003601,13051003601,"Census Tract 36.01, Chatham County, Georgia",2706,358,2377,305,329,221
1400000US13051003602,13051003602,"Census Tract 36.02, Chatham County, Georgia",4850,630,4791,628,59,38
1400000US13051003700,13051003700,"Census Tract 37, Chatham County, Georgia",1588,223,1539,217,49,39
1400000US13051003800,13051003800,"Census Tract 38, Chatham County, Georgia",2515,260,2495,263,20,32
1400000US13051003900,13051003900,"Census Tract 39, Chatham County, Georgia",3756,490,3756,490,0,13
1400000US13051004001,13051004001,"Census Tract 40.01, Chatham County, Georgia",4324,474,4248,494,76,80
1400000US13051004002,13051004002,"Census Tract 40.02, Chatham County, Georgia",3815,356,3473,391,342,284
1400000US13051004100,13051004100,"Census Tract 41, Chatham County, Georgia",1829,207,1806,208,23,34
1400000US13051004207,13051004207,"Census Tract 42.07, Chatham County, Georgia",3984,432,3914,436,70,54
1400000US13051004208,13051004208,"Census Tract 42.08, Chatham County, Georgia",5072,498,4311,423,761,379
1400000US13051004209,13051004209,"Census Tract 42.09, Chatham County, Georgia",3574,475,3219,489,355,291
1400000US13051004210,13051004210,"Census Tract 42.10, Chatham County, Georgia",4730,590,4182,531,548,324
1400000US13051004211,13051004211,"Census Tract 42.11, Chatham County, Georgia",5144,617,4802,497,342,258
1400000US13051004212,13051004212,"Census Tract 42.12, Chatham County, Georgia",5932,548,5565,566,367,230
1400000US13051004300,13051004300,"Census Tract 43, Chatham County, Georgia",2395,347,1914,386,481,241
1400000US13051004400,13051004400,"Census Tract 44, Chatham County, Georgia",2488,292,2488,292,0,13
1400000US13051004500,13051004500,"Census Tract 45, Chatham County, Georgia",4330,525,4245,545,85,78
1400000US13051010101,13051010101,"Census Tract 101.01, Chatham County, Georgia",851,213,847,214,4,7
1400000US13051010102,13051010102,"Census Tract 101.02, Chatham County, Georgia",4643,377,4246,424,397,183
1400000US13051010200,13051010200,"Census Tract 102, Chatham County, Georgia",4525,446,4469,461,56,52
1400000US13051010501,13051010501,"Census Tract 105.01, Chatham County, Georgia",5502,655,4260,604,1242,501
1400000US13051010502,13051010502,"Census Tract 105.02, Chatham County, Georgia",3756,398,3662,425,94,112
1400000US13051010601,13051010601,"Census Tract 106.01, Chatham County, Georgia",4612,451,4042,483,570,378
1400000US13051010603,13051010603,"Census Tract 106.03, Chatham County, Georgia",1649,271,1623,268,26,24
1400000US13051010605,13051010605,"Census Tract 106.05, Chatham County, Georgia",10,14,10,14,0,13
1400000US13051010700,13051010700,"Census Tract 107, Chatham County, Georgia",18168,1514,17375,1501,793,306
1400000US13051010801,13051010801,"Census Tract 108.01, Chatham County, Georgia",2714,70,2623,99,91,71
1400000US13051010802,13051010802,"Census Tract 108.02, Chatham County, Georgia",8535,914,7892,930,643,225
1400000US13051010803,13051010803,"Census Tract 108.03, Chatham County, Georgia",10135,791,9868,758,267,208
1400000US13051010806,13051010806,"Census Tract 108.06, Chatham County, Georgia",6190,488,5929,509,261,200
1400000US13051010807,13051010807,"Census Tract 108.07, Chatham County, Georgia",4473,589,4293,602,180,138
1400000US13051010808,13051010808,"Census Tract 108.08, Chatham County, Georgia",9872,898,8165,693,1707,751
1400000US13051010809,13051010809,"Census Tract 108.09, Chatham County, Georgia",10657,1071,9751,1029,906,312
1400000US13051010901,13051010901,"Census Tract 109.01, Chatham County, Georgia",4431,454,3754,401,677,360
1400000US13051011003,13051011003,"Census Tract 110.03, Chatham County, Georgia",5954,588,5618,621,336,272
1400000US13051011004,13051011004,"Census Tract 110.04, Chatham County, Georgia",3350,296,3308,299,42,34
1400000US13051011005,13051011005,"Census Tract 110.05, Chatham County, Georgia",4376,348,4320,358,56,69
1400000US13051011006,13051011006,"Census Tract 110.06, Chatham County, Georgia",3658,277,3520,285,138,123
1400000US13051011103,13051011103,"Census Tract 111.03, Chatham County, Georgia",3329,126,3173,217,156,199
1400000US13051011104,13051011104,"Census Tract 111.04, Chatham County, Georgia",4906,349,4807,321,99,132
